exercise_name,primary_muscles,secondary_muscles,equipment,level,force,category,mechanic,text_chunk,instructions
Anti-Gravity Press,shoulders,"middle back, traps, triceps",barbell,beginner,push,strength,compound,"Anti-Gravity Press is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: middle back, traps, triceps. Instructions: Place a bar on the ground behind the head of an incline bench. Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position. To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement. Return to the starting position and repeat to complete the set.",
Arnold Dumbbell Press,shoulders,triceps,dumbbell,intermediate,push,strength,compound,"Arnold Dumbbell Press is a intermediate level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: triceps. Instructions: Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl. Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward. Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement. After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement. Repeat for the recommended amount of repetitions.",
Around The Worlds,chest,shoulders,dumbbell,intermediate,push,strength,compound,"Around The Worlds is a intermediate level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: shoulders. Instructions: Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position. Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement. Reverse the movement to return the weight to the starting position as you exhale.",
Atlas Stone Trainer,lower back,"biceps, forearms, glutes, hamstrings, quadriceps",other,intermediate,pull,strongman,compound,"Atlas Stone Trainer is a intermediate level strongman exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: biceps, forearms, glutes, hamstrings, quadriceps. Instructions: This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe. Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips. Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest. Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions.",
Atlas Stones,lower back,"abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps",other,expert,pull,strongman,compound,"Atlas Stones is a expert level strongman exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps. Instructions: Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold. Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground. As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs. Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.",
Axle Deadlift,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps",other,intermediate,pull,strongman,compound,"Axle Deadlift is a intermediate level strongman exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: forearms, glutes, hamstrings, middle back, quadriceps, traps. Instructions: Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. Lower the bar by bending at the hips and guiding it to the floor.",
Back Flyes - With Bands,shoulders,"middle back, triceps",bands,beginner,pull,strength,compound,"Back Flyes - With Bands is a beginner level strength exercise targeting the shoulders. It involves a pull motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: middle back, triceps. Instructions: Run a band around a stationary post like that of a squat rack. Grab the band by the handles and stand back so that the tension in the band rises. Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position. As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides. After a pause, go back to the original position as you inhale. Repeat for the recommended amount of repetitions.",
Backward Drag,quadriceps,"calves, forearms, glutes, hamstrings, lower back",other,beginner,pull,strongman,compound,"Backward Drag is a beginner level strongman exercise targeting the quadriceps. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: calves, forearms, glutes, hamstrings, lower back. Instructions: Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto. Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible.",
Ball Leg Curl,hamstrings,"calves, glutes",exercise ball,beginner,pull,strength,isolation,"Ball Leg Curl is a beginner level strength exercise targeting the hamstrings. It involves a pull motion and is considered a isolation movement. Equipment needed: exercise ball. Secondary muscles worked: calves, glutes. Instructions: Begin on the floor laying on your back with your feet on top of the ball. Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position. Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet. Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings. After a brief pause, return to the starting position.",
Band Good Morning,hamstrings,"glutes, lower back",bands,beginner,pull,powerlifting,compound,"Band Good Morning is a beginner level powerlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: glutes, lower back. Instructions: Using a 41 inch band, stand on one end, spreading your feet a small amount. Bend at the hips to loop the end of the band behind your neck. This will be your starting position. Keeping your legs straight, extend through the hips to come to a near vertical position. Ensure that you do not round your back as you go down back to the starting position.",
Band Good Morning (Pull Through),hamstrings,"glutes, lower back",bands,beginner,pull,powerlifting,compound,"Band Good Morning (Pull Through) is a beginner level powerlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: glutes, lower back. Instructions: Loop the band around a post. Standing a little ways away, loop the opposite end around the neck. Your hands can help hold the band in position. Begin by bending at the hips, getting your butt back as far as possible. Keep your back flat and bend forward to about 90 degrees. Your knees should be only slightly bent. Return to the starting position be driving through with the hips to come back to a standing position.",
Band Pull Apart,shoulders,"middle back, traps",bands,beginner,pull,strength,isolation,"Band Pull Apart is a beginner level strength exercise targeting the shoulders. It involves a pull motion and is considered a isolation movement. Equipment needed: bands. Secondary muscles worked: middle back, traps. Instructions: Begin with your arms extended straight out in front of you, holding the band with both hands. Initiate the movement by performing a reverse fly motion, moving your hands out laterally to your sides. Keep your elbows extended as you perform the movement, bringing the band to your chest. Ensure that you keep your shoulders back during the exercise. Pause as you complete the movement, returning to the starting position under control.",
Barbell Ab Rollout,abdominals,"lower back, shoulders",barbell,intermediate,pull,strength,compound,"Barbell Ab Rollout is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: lower back, shoulders. Instructions: For this exercise you will need to get into a pushup position, but instead of having your hands of the floor, you will be grabbing on to an Olympic barbell (loaded with 5-10 lbs on each side) instead. This will be your starting position. While keeping a slight arch on your back, lift your hips and roll the barbell towards your feet as you exhale. Tip: As you perform the movement, your glutes should be coming up, you should be keeping the abs tight and should maintain your back posture at all times. Also your arms should be staying perpendicular to the floor throughout the movement. If you don't, you will work out your shoulders and back more than the abs. After a second contraction at the top, start to roll the barbell back forward to the starting position slowly as you inhale. Repeat for the recommended amount of repetitions.",
Barbell Ab Rollout - On Knees,abdominals,"lower back, shoulders",barbell,expert,pull,strength,compound,"Barbell Ab Rollout - On Knees is a expert level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: lower back, shoulders. Instructions: Hold an Olympic barbell loaded with 5-10lbs on each side and kneel on the floor. Now place the barbell on the floor in front of you so that you are on all your hands and knees (as in a kneeling push up position). This will be your starting position. Slowly roll the barbell straight forward, stretching your body into a straight position. Tip: Go down as far as you can without touching the floor with your body. Breathe in during this portion of the movement. After a second pause at the stretched position, start pulling yourself back to the starting position as you breathe out. Tip: Go slowly and keep your abs tight at all times.",
Barbell Bench Press - Medium Grip,chest,"shoulders, triceps",barbell,beginner,push,strength,compound,"Barbell Bench Press - Medium Grip is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: shoulders, triceps. Instructions: Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position. From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest. After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it. Repeat the movement for the prescribed amount of repetitions. When you are done, place the bar back in the rack.",
Barbell Curl,biceps,forearms,barbell,beginner,pull,strength,isolation,"Barbell Curl is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: barbell. Secondary muscles worked: forearms. Instructions: Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position. While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move. Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard. Slowly begin to bring the bar back to starting position as your breathe in. Repeat for the recommended amount of repetitions.",
Barbell Deadlift,lower back,"calves, forearms, glutes, hamstrings, lats, middle back, quadriceps, traps",barbell,intermediate,pull,strength,compound,"Barbell Deadlift is a intermediate level strength exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, forearms, glutes, hamstrings, lats, middle back, quadriceps, traps. Instructions: Stand in front of a loaded barbell. While keeping the back as straight as possible, bend your knees, bend forward and grasp the bar using a medium (shoulder width) overhand grip. This will be the starting position of the exercise. Tip: If it is difficult to hold on to the bar with this grip, alternate your grip or use wrist straps. While holding the bar, start the lift by pushing with your legs while simultaneously getting your torso to the upright position as you breathe out. In the upright position, stick your chest out and contract the back by bringing the shoulder blades back. Think of how the soldiers in the military look when they are in standing in attention. Go back to the starting position by bending at the knees while simultaneously leaning the torso forward at the waist while keeping the back straight. When the weights on the bar touch the floor you are back at the starting position and ready to perform another repetition. Perform the amount of repetitions prescribed in the program.",
Barbell Full Squat,quadriceps,"calves, glutes, hamstrings, lower back",barbell,intermediate,push,strength,compound,"Barbell Full Squat is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, glutes, hamstrings, lower back. Instructions: This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just above shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head up at all times and maintain a straight back. This will be your starting position. Begin to slowly lower the bar by bending the knees and sitting back with your hips as you maintain a straight posture with the head up. Continue down until your hamstrings are on your calves. Inhale as you perform this portion of the movement. Begin to raise the bar as you exhale by pushing the floor with the heel or middle of your foot as you straighten the legs and extend the hips to go back to the starting position. Repeat for the recommended amount of repetitions.",
Barbell Glute Bridge,glutes,"calves, hamstrings",barbell,intermediate,push,powerlifting,compound,"Barbell Glute Bridge is a intermediate level powerlifting exercise targeting the glutes. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, hamstrings. Instructions: Begin seated on the ground with a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lay down flat on the floor. Begin the movement by driving through with your heels, extending your hips vertically through the bar. Your weight should be supported by your upper back and the heels of your feet. Extend as far as possible, then reverse the motion to return to the starting position.",
Barbell Guillotine Bench Press,chest,"shoulders, triceps",barbell,intermediate,push,strength,compound,"Barbell Guillotine Bench Press is a intermediate level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: shoulders, triceps. Instructions: Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position. As you breathe in, bring the bar down slowly until it is about 1 inch from your neck. After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the bar back in the rack.",
Barbell Hack Squat,quadriceps,"calves, forearms, hamstrings",barbell,intermediate,push,strength,compound,"Barbell Hack Squat is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, forearms, hamstrings. Instructions: Stand up straight while holding a barbell behind you at arms length and your feet at shoulder width. Tip: A shoulder width grip is best with the palms of your hands facing back. You can use wrist wraps for this exercise for a better grip. This will be your starting position. While keeping your head and eyes up and back straight, squat until your upper thighs are parallel to the floor. Breathe in as you slowly go down. Pressing mainly with the heel of the foot and squeezing the thighs, go back up as you breathe out. Repeat for the recommended amount of repetitions.",
Barbell Hip Thrust,glutes,"calves, hamstrings",barbell,intermediate,push,powerlifting,compound,"Barbell Hip Thrust is a intermediate level powerlifting exercise targeting the glutes. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, hamstrings. Instructions: Begin seated on the ground with a bench directly behind you. Have a loaded barbell over your legs. Using a fat bar or having a pad on the bar can greatly reduce the discomfort caused by this exercise. Roll the bar so that it is directly above your hips, and lean back against the bench so that your shoulder blades are near the top of it. Begin the movement by driving through your feet, extending your hips vertically through the bar. Your weight should be supported by your shoulder blades and your feet. Extend as far as possible, then reverse the motion to return to the starting position.",
Barbell Incline Bench Press - Medium Grip,chest,"shoulders, triceps",barbell,beginner,push,strength,compound,"Barbell Incline Bench Press - Medium Grip is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: shoulders, triceps. Instructions: Lie back on an incline bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position. As you breathe in, come down slowly until you feel the bar on you upper chest. After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly again. Tip: it should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the bar back in the rack.",
Barbell Incline Shoulder Raise,shoulders,chest,barbell,beginner,push,strength,compound,"Barbell Incline Shoulder Raise is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: chest. Instructions: Lie back on an Incline Bench. Using a medium width grip (a grip that is slightly wider than shoulder width), lift the bar from the rack and hold it straight over you with your arms straight. This will be your starting position. While keeping the arms straight, lift the bar by protracting your shoulder blades, raising the shoulders from the bench as you breathe out. Bring back the bar to the starting position as you breathe in. Repeat for the recommended amount of repetitions.",
Barbell Lunge,quadriceps,"calves, glutes, hamstrings",barbell,intermediate,push,strength,compound,"Barbell Lunge is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, glutes, hamstrings. Instructions: This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it. Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and step forward with your right leg and squat down through your hips, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: Do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. li> Using mainly the heel of your foot, push up and go back to the starting position as you exhale. Repeat the movement for the recommended amount of repetitions and then perform with the left leg.",
Barbell Rear Delt Row,shoulders,"biceps, lats, middle back",barbell,beginner,pull,strength,compound,"Barbell Rear Delt Row is a beginner level strength exercise targeting the shoulders. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: biceps, lats, middle back. Instructions: Stand up straight while holding a barbell using a wide (higher than shoulder width) and overhand (palms facing your body) grip. Bend knees slightly and bend over as you keep the natural arch of your back. Let the arms hang in front of you as they hold the bar. Once your torso is parallel to the floor, flare the elbows out and away from your body. Tip: Your torso and your arms should resemble the letter ""T"". Now you are ready to begin the exercise. While keeping the upper arms perpendicular to the torso, pull the barbell up towards your upper chest as you squeeze the rear delts and you breathe out. Tip: When performed correctly, this exercise should resemble a bench press in reverse. Also, refrain from using your biceps to do the work. Focus on targeting the rear delts; the arms should only act as hooks. Slowly go back to the initial position as you breathe in. Repeat for the recommended amount of repetitions.",
Barbell Rollout from Bench,abdominals,"glutes, hamstrings, lats, shoulders",barbell,intermediate,pull,strength,compound,"Barbell Rollout from Bench is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: glutes, hamstrings, lats, shoulders. Instructions: Place a loaded barbell on the ground, near the end of a bench. Kneel with both legs on the bench, and take a medium to narrow grip on the barbell. This will be your starting position. To begin, extend through the hips to slowly roll the bar forward. As you roll out, flex the shoulder to roll the bar above your head. Ensure that your arms remain extended throughout the movement. When the bar has been moved as far forward as possible, return to the starting position.",
Barbell Shoulder Press,shoulders,"chest, triceps",barbell,intermediate,push,strength,compound,"Barbell Shoulder Press is a intermediate level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: chest, triceps. Instructions: Sit on a bench with back support in a squat rack. Position a barbell at a height that is just above your head. Grab the barbell with a pronated grip (palms facing forward). Once you pick up the barbell with the correct grip width, lift the bar up over your head by locking your arms. Hold at about shoulder level and slightly in front of your head. This is your starting position. Lower the bar down to the shoulders slowly as you inhale. Lift the bar back up to the starting position as you exhale. Repeat for the recommended amount of repetitions.",
Barbell Shrug Behind The Back,traps,"forearms, middle back",barbell,beginner,pull,strength,isolation,"Barbell Shrug Behind The Back is a beginner level strength exercise targeting the traps. It involves a pull motion and is considered a isolation movement. Equipment needed: barbell. Secondary muscles worked: forearms, middle back. Instructions: Stand up straight with your feet at shoulder width as you hold a barbell with both hands behind your back using a pronated grip (palms facing back). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for better grip. This will be your starting position. Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps. The arms should remain stretched out at all times. Slowly return to the starting position as you breathe in. Repeat for the recommended amount of repetitions.",
Barbell Side Bend,abdominals,lower back,barbell,beginner,pull,strength,isolation,"Barbell Side Bend is a beginner level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: barbell. Secondary muscles worked: lower back. Instructions: Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be shoulder width apart. This will be your starting position. While keeping your back straight and your head up, bend only at the waist to the right as far as possible. Breathe in as you bend to the side. Then hold for a second and come back up to the starting position as you exhale. Tip: Keep the rest of the body stationary. Now repeat the movement but bending to the left instead. Hold for a second and come back to the starting position. Repeat for the recommended amount of repetitions.",
Barbell Side Split Squat,quadriceps,"calves, hamstrings, lower back",barbell,beginner,push,strength,compound,"Barbell Side Split Squat is a beginner level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, hamstrings, lower back. Instructions: Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position. Lower your body towards the side of your angled foot by bending the knee and hip of your lead leg and while keeping the opposite leg only slightly bent. Breathe in as you lower your body. Return to the starting position by extending the hip and knee of the lead leg. Breathe out as you perform this movement. After performing the recommended amount of reps, repeat the movement with the opposite leg.",
