,exercise_name,category,primary_muscles,secondary_muscles,equipment,mechanic,force,level,source_url,source,text_chunk
35,archer push-up,Chest,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/WeightExercises/PectoralSternal/BWArcherPushup,exrx_scraper,"Utility: Basic or Auxiliary. Comments: Apart for subtle twist, both upper and lower body must be kept fairly straight throughout movement. To make it easier: Resistance can be reduced by performing standard push-ups or similar movements.
• Push-up
• Shoulder Tap Push-up. To make it harder: For greater challenge, perform push-ups with one arm, have partner hold weight on back, or plyometric variations for more power. Some may find Chest Dips on parallel bars more or less difficult.
• One Arm Push-up
• Chest Dip
• Weighted Push-up
• Clap Push-up
• Depth Push-up."
36,arm circles,Miscellaneous,shoulders,traps,bodyweight,Isolated,Pull & Push,beginner,https://exrx.net/Stretches/Miscellaneous/ArmCircle,exrx_scraper + api,"Utility: Dynamic Stretch. Comments: Circles can rotate either direction (1) down and back to up and forward or (2) up and back to down and forward; most commonly performing first set in one direction followed by second set in opposite direction. Movement can serve to warm up shoulders before athletic performance or sports training sessions. The wide movements also can dynamically stretch shoulder and shoulder girdle musculature.

--- Additional Info ---

arm circles is a beginner level stretching exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: traps. Instructions: "
37,arnold dumbbell press,Shoulders,shoulders,triceps,dumbbell,Compound,Push,intermediate,https://exrx.net/WeightExercises/DeltoidAnterior/DBArnoldPress,exrx_scraper + api,"Utility: Basic or Auxiliary. Comments: Movement should emphasize shoulder abduction while minimizing forearm pronation as this exercise attempts to combine lateral raise like motion with shoulder press. Lean forward slightly when lifting Dumbbells.

--- Additional Info ---

Arnold Dumbbell Press is a intermediate level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: triceps. Instructions: Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl. Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward. Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement. After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement. Repeat for the recommended amount of repetitions."
38,around the worlds,strength,chest,shoulders,dumbbell,compound,push,intermediate,No URL provided,api,"Around The Worlds is a intermediate level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: shoulders. Instructions: Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position. Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement. Reverse the movement to return the weight to the starting position as you exhale."
39,atlas stone lift (to shoulder),Miscellaneous,Not Specified,Not Specified,Not Specified,Compound,Pull,Not Specified,https://exrx.net/WeightExercises/Other/ASLiftShoulder,exrx_scraper,"Utility: Specialized. Comments: This exercise can be performed for strongman event preparation. Soft sided or rubber coated atlas ball in lieu of atlas stone. Tacky can be used to decrease slippage with atlas stone lifting.
Shins should be close to stone, yet permitting arms to slide between knees. Fingers should be spread wide with middle of hands centered at each side, close to bottom of stone. Alternative technique after lapping stone involves pulling stone further back toward hips flexing spine around contour of ball for added trunk support and to prevent stone from falling down into bent hips, particularly if arms are wrapped slightly above diameter of stone."
40,atlas stone trainer,strongman,lower back,"biceps, forearms, glutes, hamstrings, quadriceps",other,compound,pull,intermediate,No URL provided,api,"Atlas Stone Trainer is a intermediate level strongman exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: biceps, forearms, glutes, hamstrings, quadriceps. Instructions: This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe. Begin by loading the desired weight onto the bar. Straddle the weight, wrapping your arms around the implement, bending at the hips. Begin by pulling the weight up past the knees, extending through the hips. As the weight clears the knees, it can be lapped by resting it on your thighs and sitting back, hugging it tightly to your chest. Finish the movement by extending through your hips and knees to raise the weight as high as possible. The weight can be returned to the lap or to the ground for successive repetitions."
41,atlas stones,strongman,lower back,"abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps",other,compound,pull,expert,No URL provided,api,"Atlas Stones is a expert level strongman exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps. Instructions: Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold. Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground. As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs. Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible."
42,axle deadlift,strongman,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps",other,compound,pull,intermediate,No URL provided,api,"Axle Deadlift is a intermediate level strongman exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: forearms, glutes, hamstrings, middle back, quadriceps, traps. Instructions: Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip. With your feet and your grip set, take a big breath and then lower your hips and flex the knees until your shins contact the bar. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. After the bar passes the knees, aggressively pull the bar back, pulling your shoulder blades together as you drive your hips forward into the bar. Lower the bar by bending at the hips and guiding it to the floor."
43,back flyes - with bands,strength,shoulders,"middle back, triceps",bands,compound,pull,beginner,No URL provided,api,"Back Flyes - With Bands is a beginner level strength exercise targeting the shoulders. It involves a pull motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: middle back, triceps. Instructions: Run a band around a stationary post like that of a squat rack. Grab the band by the handles and stand back so that the tension in the band rises. Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position. As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides. After a pause, go back to the original position as you inhale. Repeat for the recommended amount of repetitions."
44,backward drag,strongman,quadriceps,"calves, forearms, glutes, hamstrings, lower back",other,compound,pull,beginner,No URL provided,api,"Backward Drag is a beginner level strongman exercise targeting the quadriceps. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: calves, forearms, glutes, hamstrings, lower back. Instructions: Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto. Begin the exercise by moving backwards for a given distance. Leaning back, extend through the legs for short steps to move as quickly as possible."
45,backward medicine ball throw,Plyometrics,shoulders,"legs, core",medicine ball,Compound,Push,beginner,https://exrx.net/Plyometrics/MBOverheadBackwardThrow,exrx_scraper + api,"Utility: Plyometric. Comments: Squat Overhead Backward Throw is considered full body movement. If performing for repetitions or timed duration, throw ball toward solid wall so ball can be more easily retrieved. Throws can also be also be performed for distance on field or in large indoor space.
Slight spine flexion may occur during bent over squat position dependent upon participants depth and flexibility. Spinal hyper-extension occurs as body extends and arms reach back during throw.

--- Additional Info ---

backward medicine ball throw is a beginner level plyometrics exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: medicine ball. Secondary muscles worked: legs, core. Instructions: "
46,balance board,balance,calves,"hamstrings, quadriceps",balance board,isolation,isometric,beginner,No URL provided,api,"balance board is a beginner level balance exercise targeting the calves. It involves a isometric motion and is considered a isolation movement. Equipment needed: balance board. Secondary muscles worked: hamstrings, quadriceps. Instructions: "
47,ball crunch (on stability ball),Waist,Not Specified,Not Specified,Not Specified,Isolated,Pull,Not Specified,https://exrx.net/WeightExercises/RectusAbdominis/BWBallCrunch,exrx_scraper,"Utility: Auxiliary. Comments: Certain individuals may need to keep their neck in neutral position with space between their chin and sternum. Some individuals may experience low back discomfort if hips are not bent so they must use smaller ball size or lower their hip position on ball. See Spot Reduction Myth. To make it easier: Movement can be made easier by positioning hips low on ball or placing arms further down away from head. See Arm Position During Waist Exercises.
• arms crossed. To make it harder: Exercise can be made more challenging by using positioning ball lower on back and hips higher or adding additional weight.
• Weighted Ball Crunch."
48,ball leg curl,strength,hamstrings,"calves, glutes",exercise ball,isolation,pull,beginner,No URL provided,api,"Ball Leg Curl is a beginner level strength exercise targeting the hamstrings. It involves a pull motion and is considered a isolation movement. Equipment needed: exercise ball. Secondary muscles worked: calves, glutes. Instructions: Begin on the floor laying on your back with your feet on top of the ball. Position the ball so that when your legs are extended your ankles are on top of the ball. This will be your starting position. Raise your hips off of the ground, keeping your weight on the shoulder blades and your feet. Flex the knees, pulling the ball as close to you as you can, contracting the hamstrings. After a brief pause, return to the starting position."
49,band assisted pull-up,strength,lats,"abdominals, forearms, middle back","pull-up bar, resistance band",compound,pull,beginner,No URL provided,api,"band assisted pull-up is a beginner level strength exercise targeting the lats. It involves a pull motion and is considered a compound movement. Equipment needed: pull-up bar, resistance band. Secondary muscles worked: abdominals, forearms, middle back. Instructions: "
50,band good morning,powerlifting,hamstrings,"glutes, lower back",bands,compound,pull,beginner,No URL provided,api,"Band Good Morning is a beginner level powerlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: glutes, lower back. Instructions: Using a 41 inch band, stand on one end, spreading your feet a small amount. Bend at the hips to loop the end of the band behind your neck. This will be your starting position. Keeping your legs straight, extend through the hips to come to a near vertical position. Ensure that you do not round your back as you go down back to the starting position."
51,band good morning (pull through),powerlifting,hamstrings,"glutes, lower back",bands,compound,pull,beginner,No URL provided,api,"Band Good Morning (Pull Through) is a beginner level powerlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: glutes, lower back. Instructions: Loop the band around a post. Standing a little ways away, loop the opposite end around the neck. Your hands can help hold the band in position. Begin by bending at the hips, getting your butt back as far as possible. Keep your back flat and bend forward to about 90 degrees. Your knees should be only slightly bent. Return to the starting position be driving through with the hips to come back to a standing position."
