search_query,fdc_id,food_name,food_category,data_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,iron_mg,calcium_mg,potassium_mg,magnesium_mg,vitamin_c_mg,vitamin_b12_ug,text_chunk
"Shrimp, raw",175179,"Crustaceans, shrimp, raw",Finfish and Shellfish Products,SR Legacy,85.0,20.1,0.0,0.51,0.0,0.0,0.101,161.0,119.0,0.52,64.0,264.0,35.0,0.0,0.0,"Food: Crustaceans, shrimp, raw

        Per 100 grams:
        - Calories: 85.0 kcal
        - Protein: 20.1 g
        - Carbohydrates: 0.0 g
        - Fat: 0.51 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.101 g
        - Cholesterol: 161.0 mg
        - Sodium: 119.0 mg
        - Iron: 0.52 mg
        - Calcium: 64.0 mg
        - Potassium: 264.0 mg
        - Magnesium: 35.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Finfish and Shellfish Products
        Data Source Type: SR Legacy"
"Mackerel, raw",175119,"Fish, mackerel, Atlantic, raw",Finfish and Shellfish Products,SR Legacy,205.0,18.6,0.0,13.9,0.0,0.0,3.26,70.0,90.0,1.63,12.0,314.0,76.0,0.4,8.71,"Food: Fish, mackerel, Atlantic, raw

        Per 100 grams:
        - Calories: 205.0 kcal
        - Protein: 18.6 g
        - Carbohydrates: 0.0 g
        - Fat: 13.9 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 3.26 g
        - Cholesterol: 70.0 mg
        - Sodium: 90.0 mg
        - Iron: 1.63 mg
        - Calcium: 12.0 mg
        - Potassium: 314.0 mg
        - Magnesium: 76.0 mg
        - Vitamin C: 0.4 mg
        - Vitamin B12: 8.71 µg

        Category: Finfish and Shellfish Products
        Data Source Type: SR Legacy"
"Sardines, canned",175139,"Fish, sardine, Atlantic, canned in oil, drained solids with bone",Finfish and Shellfish Products,SR Legacy,208.0,24.6,0.0,11.4,0.0,0.0,1.53,142.0,307.0,2.92,382.0,397.0,39.0,0.0,8.94,"Food: Fish, sardine, Atlantic, canned in oil, drained solids with bone

        Per 100 grams:
        - Calories: 208.0 kcal
        - Protein: 24.6 g
        - Carbohydrates: 0.0 g
        - Fat: 11.4 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 1.53 g
        - Cholesterol: 142.0 mg
        - Sodium: 307.0 mg
        - Iron: 2.92 mg
        - Calcium: 382.0 mg
        - Potassium: 397.0 mg
        - Magnesium: 39.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 8.94 µg

        Category: Finfish and Shellfish Products
        Data Source Type: SR Legacy"
"Egg, whole, raw",171287,"Egg, whole, raw, fresh",Dairy and Egg Products,SR Legacy,143.0,12.6,0.72,9.51,0.0,0.0,3.13,372.0,142.0,1.75,56.0,138.0,12.0,0.0,0.89,"Food: Egg, whole, raw, fresh

        Per 100 grams:
        - Calories: 143.0 kcal
        - Protein: 12.6 g
        - Carbohydrates: 0.72 g
        - Fat: 9.51 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 3.13 g
        - Cholesterol: 372.0 mg
        - Sodium: 142.0 mg
        - Iron: 1.75 mg
        - Calcium: 56.0 mg
        - Potassium: 138.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.89 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Egg white, raw",172183,"Egg, white, raw, fresh",Dairy and Egg Products,SR Legacy,52.0,10.9,0.73,0.17,0.0,0.0,0.0,0.0,166.0,0.08,7.0,163.0,11.0,0.0,0.09,"Food: Egg, white, raw, fresh

        Per 100 grams:
        - Calories: 52.0 kcal
        - Protein: 10.9 g
        - Carbohydrates: 0.73 g
        - Fat: 0.17 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 166.0 mg
        - Iron: 0.08 mg
        - Calcium: 7.0 mg
        - Potassium: 163.0 mg
        - Magnesium: 11.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.09 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Cheese, cottage, lowfat",173417,"Cheese, cottage, lowfat, 1% milkfat",Dairy and Egg Products,SR Legacy,72.0,12.4,2.72,1.02,0.0,0.0,0.645,4.0,406.0,0.14,61.0,86.0,5.0,0.0,0.63,"Food: Cheese, cottage, lowfat, 1% milkfat

        Per 100 grams:
        - Calories: 72.0 kcal
        - Protein: 12.4 g
        - Carbohydrates: 2.72 g
        - Fat: 1.02 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.645 g
        - Cholesterol: 4.0 mg
        - Sodium: 406.0 mg
        - Iron: 0.14 mg
        - Calcium: 61.0 mg
        - Potassium: 86.0 mg
        - Magnesium: 5.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.63 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Cheese, feta",173420,"Cheese, feta",Dairy and Egg Products,SR Legacy,265.0,14.2,3.88,21.5,0.0,0.0,13.3,89.0,1140.0,0.65,493.0,62.0,19.0,0.0,1.69,"Food: Cheese, feta

        Per 100 grams:
        - Calories: 265.0 kcal
        - Protein: 14.2 g
        - Carbohydrates: 3.88 g
        - Fat: 21.5 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 13.3 g
        - Cholesterol: 89.0 mg
        - Sodium: 1140.0 mg
        - Iron: 0.65 mg
        - Calcium: 493.0 mg
        - Potassium: 62.0 mg
        - Magnesium: 19.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 1.69 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Yogurt, Greek, plain, nonfat",330137,"Yogurt, Greek, plain, nonfat",Dairy and Egg Products,Foundation,61.0,10.3,3.64,0.37,0.0,0.0,0.108,5.0,36.0,0.07,111.0,141.0,10.7,0.0,0.7,"Food: Yogurt, Greek, plain, nonfat

        Per 100 grams:
        - Calories: 61.0 kcal
        - Protein: 10.3 g
        - Carbohydrates: 3.64 g
        - Fat: 0.37 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.108 g
        - Cholesterol: 5.0 mg
        - Sodium: 36.0 mg
        - Iron: 0.07 mg
        - Calcium: 111.0 mg
        - Potassium: 141.0 mg
        - Magnesium: 10.7 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.7 µg

        Category: Dairy and Egg Products
        Data Source Type: Foundation"
"Yogurt, plain, whole milk",171284,"Yogurt, plain, whole milk",Dairy and Egg Products,SR Legacy,61.0,3.47,4.66,3.25,0.0,0.0,2.1,13.0,46.0,0.05,121.0,155.0,12.0,0.5,0.37,"Food: Yogurt, plain, whole milk

        Per 100 grams:
        - Calories: 61.0 kcal
        - Protein: 3.47 g
        - Carbohydrates: 4.66 g
        - Fat: 3.25 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 2.1 g
        - Cholesterol: 13.0 mg
        - Sodium: 46.0 mg
        - Iron: 0.05 mg
        - Calcium: 121.0 mg
        - Potassium: 155.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 0.5 mg
        - Vitamin B12: 0.37 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Milk, whole",170845,"Cheese, mozzarella, whole milk",Dairy and Egg Products,SR Legacy,299.0,22.2,2.4,22.1,0.0,0.0,13.9,79.0,486.0,0.44,505.0,76.0,20.0,0.0,2.28,"Food: Cheese, mozzarella, whole milk

        Per 100 grams:
        - Calories: 299.0 kcal
        - Protein: 22.2 g
        - Carbohydrates: 2.4 g
        - Fat: 22.1 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 13.9 g
        - Cholesterol: 79.0 mg
        - Sodium: 486.0 mg
        - Iron: 0.44 mg
        - Calcium: 505.0 mg
        - Potassium: 76.0 mg
        - Magnesium: 20.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 2.28 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Milk, skim",170887,"Yogurt, plain, skim milk",Dairy and Egg Products,SR Legacy,56.0,5.73,7.68,0.18,0.0,0.0,0.116,2.0,77.0,0.09,199.0,255.0,19.0,0.9,0.61,"Food: Yogurt, plain, skim milk

        Per 100 grams:
        - Calories: 56.0 kcal
        - Protein: 5.73 g
        - Carbohydrates: 7.68 g
        - Fat: 0.18 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.116 g
        - Cholesterol: 2.0 mg
        - Sodium: 77.0 mg
        - Iron: 0.09 mg
        - Calcium: 199.0 mg
        - Potassium: 255.0 mg
        - Magnesium: 19.0 mg
        - Vitamin C: 0.9 mg
        - Vitamin B12: 0.61 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Kefir, plain",170904,"Kefir, lowfat, plain, LIFEWAY",Dairy and Egg Products,SR Legacy,43.0,3.79,4.77,1.02,0.0,0.0,0.658,5.0,40.0,0.04,130.0,164.0,12.0,0.2,0.29,"Food: Kefir, lowfat, plain, LIFEWAY

        Per 100 grams:
        - Calories: 43.0 kcal
        - Protein: 3.79 g
        - Carbohydrates: 4.77 g
        - Fat: 1.02 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.658 g
        - Cholesterol: 5.0 mg
        - Sodium: 40.0 mg
        - Iron: 0.04 mg
        - Calcium: 130.0 mg
        - Potassium: 164.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 0.2 mg
        - Vitamin B12: 0.29 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Broadbeans (fava beans), raw",175205,"Broadbeans (fava beans), mature seeds, raw",Legumes and Legume Products,SR Legacy,341.0,26.1,58.3,1.53,25.0,0.0,0.254,0.0,13.0,6.7,103.0,1060.0,192.0,1.4,0.0,"Food: Broadbeans (fava beans), mature seeds, raw

        Per 100 grams:
        - Calories: 341.0 kcal
        - Protein: 26.1 g
        - Carbohydrates: 58.3 g
        - Fat: 1.53 g
        - Fiber: 25.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.254 g
        - Cholesterol: 0.0 mg
        - Sodium: 13.0 mg
        - Iron: 6.7 mg
        - Calcium: 103.0 mg
        - Potassium: 1060.0 mg
        - Magnesium: 192.0 mg
        - Vitamin C: 1.4 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Lupins, raw",172423,"Lupins, mature seeds, raw",Legumes and Legume Products,SR Legacy,371.0,36.2,40.4,9.74,18.9,0.0,1.16,0.0,15.0,4.36,176.0,1010.0,198.0,4.8,0.0,"Food: Lupins, mature seeds, raw

        Per 100 grams:
        - Calories: 371.0 kcal
        - Protein: 36.2 g
        - Carbohydrates: 40.4 g
        - Fat: 9.74 g
        - Fiber: 18.9 g
        - Sugar: 0.0 g
        - Saturated Fat: 1.16 g
        - Cholesterol: 0.0 mg
        - Sodium: 15.0 mg
        - Iron: 4.36 mg
        - Calcium: 176.0 mg
        - Potassium: 1010.0 mg
        - Magnesium: 198.0 mg
        - Vitamin C: 4.8 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Lentils, raw",172420,"Lentils, raw",Legumes and Legume Products,SR Legacy,352.0,24.6,63.4,1.06,10.7,0.0,0.154,0.0,6.0,6.51,35.0,677.0,47.0,4.5,0.0,"Food: Lentils, raw

        Per 100 grams:
        - Calories: 352.0 kcal
        - Protein: 24.6 g
        - Carbohydrates: 63.4 g
        - Fat: 1.06 g
        - Fiber: 10.7 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.154 g
        - Cholesterol: 0.0 mg
        - Sodium: 6.0 mg
        - Iron: 6.51 mg
        - Calcium: 35.0 mg
        - Potassium: 677.0 mg
        - Magnesium: 47.0 mg
        - Vitamin C: 4.5 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Chickpeas, raw",173756,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",Legumes and Legume Products,SR Legacy,378.0,20.5,63.0,6.04,12.2,0.0,0.603,0.0,24.0,4.31,57.0,718.0,79.0,4.0,0.0,"Food: Chickpeas (garbanzo beans, bengal gram), mature seeds, raw

        Per 100 grams:
        - Calories: 378.0 kcal
        - Protein: 20.5 g
        - Carbohydrates: 63.0 g
        - Fat: 6.04 g
        - Fiber: 12.2 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.603 g
        - Cholesterol: 0.0 mg
        - Sodium: 24.0 mg
        - Iron: 4.31 mg
        - Calcium: 57.0 mg
        - Potassium: 718.0 mg
        - Magnesium: 79.0 mg
        - Vitamin C: 4.0 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Black beans, raw",173734,"Beans, black, mature seeds, raw",Legumes and Legume Products,SR Legacy,341.0,21.6,62.4,1.42,15.5,0.0,0.366,0.0,5.0,5.02,123.0,1480.0,171.0,0.0,0.0,"Food: Beans, black, mature seeds, raw

        Per 100 grams:
        - Calories: 341.0 kcal
        - Protein: 21.6 g
        - Carbohydrates: 62.4 g
        - Fat: 1.42 g
        - Fiber: 15.5 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.366 g
        - Cholesterol: 0.0 mg
        - Sodium: 5.0 mg
        - Iron: 5.02 mg
        - Calcium: 123.0 mg
        - Potassium: 1480.0 mg
        - Magnesium: 171.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Tofu, firm, raw",172475,"Tofu, raw, firm, prepared with calcium sulfate",Legumes and Legume Products,SR Legacy,144.0,17.3,2.78,8.72,2.3,0.0,1.26,0.0,14.0,2.66,683.0,237.0,58.0,0.2,0.0,"Food: Tofu, raw, firm, prepared with calcium sulfate

        Per 100 grams:
        - Calories: 144.0 kcal
        - Protein: 17.3 g
        - Carbohydrates: 2.78 g
        - Fat: 8.72 g
        - Fiber: 2.3 g
        - Sugar: 0.0 g
        - Saturated Fat: 1.26 g
        - Cholesterol: 0.0 mg
        - Sodium: 14.0 mg
        - Iron: 2.66 mg
        - Calcium: 683.0 mg
        - Potassium: 237.0 mg
        - Magnesium: 58.0 mg
        - Vitamin C: 0.2 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Bread, pita, whole-wheat",174916,"Bread, pita, whole-wheat",Baked Products,SR Legacy,262.0,9.8,55.9,1.71,6.1,0.0,0.208,0.0,421.0,3.06,15.0,170.0,69.0,0.0,0.0,"Food: Bread, pita, whole-wheat

        Per 100 grams:
        - Calories: 262.0 kcal
        - Protein: 9.8 g
        - Carbohydrates: 55.9 g
        - Fat: 1.71 g
        - Fiber: 6.1 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.208 g
        - Cholesterol: 0.0 mg
        - Sodium: 421.0 mg
        - Iron: 3.06 mg
        - Calcium: 15.0 mg
        - Potassium: 170.0 mg
        - Magnesium: 69.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Baked Products
        Data Source Type: SR Legacy"
"Rice, white, short-grain, raw",168931,"Rice, white, short-grain, raw, unenriched",Cereal Grains and Pasta,SR Legacy,358.0,6.5,79.2,0.52,0.0,0.0,0.14,0.0,1.0,0.8,3.0,76.0,23.0,0.0,0.0,"Food: Rice, white, short-grain, raw, unenriched

        Per 100 grams:
        - Calories: 358.0 kcal
        - Protein: 6.5 g
        - Carbohydrates: 79.2 g
        - Fat: 0.52 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.14 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 0.8 mg
        - Calcium: 3.0 mg
        - Potassium: 76.0 mg
        - Magnesium: 23.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Cereal Grains and Pasta
        Data Source Type: SR Legacy"
"Rice, brown, raw",2512380,"Rice, brown, long grain, unenriched, raw",Cereal Grains and Pasta,Foundation,0.0,7.25,76.7,3.31,3.02,0.0,0.0,0.0,0.0,1.24,8.06,250.0,115.0,0.0,0.0,"Food: Rice, brown, long grain, unenriched, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 7.25 g
        - Carbohydrates: 76.7 g
        - Fat: 3.31 g
        - Fiber: 3.02 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 1.24 mg
        - Calcium: 8.06 mg
        - Potassium: 250.0 mg
        - Magnesium: 115.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Cereal Grains and Pasta
        Data Source Type: Foundation"
"Oats, raw",168872,"Oat bran, raw",Cereal Grains and Pasta,SR Legacy,246.0,17.3,66.2,7.03,15.4,0.0,1.33,0.0,4.0,5.41,58.0,566.0,235.0,0.0,0.0,"Food: Oat bran, raw

        Per 100 grams:
        - Calories: 246.0 kcal
        - Protein: 17.3 g
        - Carbohydrates: 66.2 g
        - Fat: 7.03 g
        - Fiber: 15.4 g
        - Sugar: 0.0 g
        - Saturated Fat: 1.33 g
        - Cholesterol: 0.0 mg
        - Sodium: 4.0 mg
        - Iron: 5.41 mg
        - Calcium: 58.0 mg
        - Potassium: 566.0 mg
        - Magnesium: 235.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Cereal Grains and Pasta
        Data Source Type: SR Legacy"
"Sweet potato, raw",169303,"Sweet potato leaves, raw",Vegetables and Vegetable Products,SR Legacy,42.0,2.49,8.82,0.51,5.3,0.0,0.111,0.0,6.0,0.97,78.0,508.0,70.0,11.0,0.0,"Food: Sweet potato leaves, raw

        Per 100 grams:
        - Calories: 42.0 kcal
        - Protein: 2.49 g
        - Carbohydrates: 8.82 g
        - Fat: 0.51 g
        - Fiber: 5.3 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.111 g
        - Cholesterol: 0.0 mg
        - Sodium: 6.0 mg
        - Iron: 0.97 mg
        - Calcium: 78.0 mg
        - Potassium: 508.0 mg
        - Magnesium: 70.0 mg
        - Vitamin C: 11.0 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Potato, russet, raw",2346401,"Potatoes, russet, without skin, raw",Vegetables and Vegetable Products,Foundation,0.0,2.27,17.8,0.36,0.0,0.0,0.0,0.0,2.74,0.384,7.8,450.0,25.6,10.9,0.0,"Food: Potatoes, russet, without skin, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 2.27 g
        - Carbohydrates: 17.8 g
        - Fat: 0.36 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 2.74 mg
        - Iron: 0.384 mg
        - Calcium: 7.8 mg
        - Potassium: 450.0 mg
        - Magnesium: 25.6 mg
        - Vitamin C: 10.9 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: Foundation"
